busLine,busTime,complainId,stationId,isJewishHoliday,weekDay,relativeHumidity(%),temperature(Â°C),windSpeed(m/s),rainfall(mm),operator,routeLength,accesible,numberOfStations,weeklyDrives,numberOfLinesStoppingAtStation,dailyNumberOfPassengersAtStation,hour,passengersNumberSum,dailyNumberOfStopsAtStation
6,18/05/2023 10:30,אוטובוס הגיע בזמן,13086,FALSE,4,63,24,3.3,0,דן באר שבע,14,כן,14,500,8,110.5416667,10,1,294
11,18/05/2023 10:50,אוטובוס איחר,11601,FALSE,4,63,24,3.3,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,11,2,747
34,18/05/2023 12:48,אוטובוס הגיע בזמן,13992,FALSE,4,50,25.3,3.6,0,דן באר שבע,17,כן,39,311,34,151.2916667,13,3,725
25,18/05/2023 12:48,אוטובוס איחר,13983,FALSE,4,50,25.3,3.6,0,דן באר שבע,16.9,כן,44,434,39,274.5416667,13,3,771
10,18/05/2023 12:48,אוטובוס איחר,13992,FALSE,4,50,25.3,3.6,0,דן באר שבע,11.9,לא,19,168,34,151.2916667,13,2,725
26,18/05/2023 12:49,אוטובוס הגיע בזמן,13992,FALSE,4,50,25.3,3.6,0,דן באר שבע,16.9,כן,44,434,34,151.2916667,13,1,725
25,18/05/2023 12:50,אוטובוס הגיע בזמן,13518,FALSE,5,33,28.4,3.9,0,דן באר שבע,16.9,כן,44,434,7,162.9583333,13,3,411
16,18/05/2023 12:50,אוטובוס הגיע בזמן,11342,FALSE,5,50,25.3,3.6,0,דן באר שבע,11.6,כן,29,302,8,110.5416667,13,1,765
12,18/05/2023 12:50,אוטובוס איחר,11342,FALSE,5,50,25.3,3.6,0,דן באר שבע,8.8,כן,26,491,8,110.5416667,13,1,765
5,18/05/2023 12:50,אוטובוס הגיע בזמן,13992,FALSE,4,50,25.3,3.6,0,דן באר שבע,14,כן,14,500,34,151.2916667,13,3,725
5,18/05/2023 12:50,אוטובוס הגיע בזמן,11601,FALSE,4,50,25.3,3.6,0,דן באר שבע,13.6,כן,38,512,39,293.9791667,13,3,747
2,18/05/2023 12:50,אוטובוס הגיע בזמן,13992,FALSE,4,50,25.3,3.6,0,דן באר שבע,16.5,כן,46,391,34,151.2916667,13,3,725
25,18/05/2023 12:51,אוטובוס איחר,13992,FALSE,4,50,25.3,3.6,0,דן באר שבע,16.9,כן,44,434,34,151.2916667,13,3,725
5,18/05/2023 12:51,אוטובוס הגיע בזמן,13983,FALSE,4,50,25.3,3.6,0,דן באר שבע,13.6,כן,38,512,39,274.5416667,13,2,771
12,03/03/2023 6:31,אוטובוס הגיע בזמן,11132,FALSE,5,39,15.2,2,0,דן באר שבע,19.7,כן,47,243,8,80.95833333,7,1,294
24,18/05/2023 12:52,אוטובוס הגיע בזמן,13983,FALSE,4,50,25.3,3.6,0,דן באר שבע,13.2,כן,33,336,39,274.5416667,13,2,771
12,18/05/2023 12:52,אוטובוס הגיע בזמן,11132,FALSE,5,50,25.3,3.6,0,דן באר שבע,8.8,כן,26,491,8,80.95833333,13,1,294
6,18/05/2023 12:52,אוטובוס הגיע בזמן,13086,FALSE,5,50,25.3,3.6,0,דן באר שבע,14,כן,14,500,8,110.5416667,13,2,294
6,18/05/2023 12:52,אוטובוס איחר,11132,FALSE,5,50,25.3,3.6,0,דן באר שבע,14,כן,14,500,8,80.95833333,13,1,294
5,18/05/2023 12:52,אוטובוס הגיע בזמן,13518,FALSE,5,33,28.4,3.9,0,דן באר שבע,13.6,כן,38,512,7,162.9583333,13,3,411
24,18/05/2023 12:53,אוטובוס הגיע בזמן,13518,FALSE,5,33,28.4,3.9,0,דן באר שבע,13.2,כן,33,336,7,162.9583333,13,1,411
16,18/05/2023 12:53,אוטובוס הגיע בזמן,11601,FALSE,4,50,25.3,3.6,0,דן באר שבע,11.6,כן,29,302,39,293.9791667,13,1,747
12,18/05/2023 12:53,אוטובוס הגיע בזמן,13086,FALSE,5,50,25.3,3.6,0,דן באר שבע,8.8,כן,26,491,8,110.5416667,13,2,294
16,18/05/2023 12:54,אוטובוס הגיע בזמן,13992,FALSE,4,50,25.3,3.6,0,דן באר שבע,11.6,כן,29,302,34,151.2916667,13,2,725
16,18/05/2023 12:54,אוטובוס הגיע בזמן,13983,FALSE,4,50,25.3,3.6,0,דן באר שבע,11.6,כן,29,302,39,274.5416667,13,3,771
16,18/05/2023 12:55,אוטובוס הגיע בזמן,13518,FALSE,5,33,28.4,3.9,0,דן באר שבע,11.6,כן,29,302,7,162.9583333,13,3,411
332,18/05/2023 12:56,אוטובוס הגיע בזמן,13983,FALSE,4,50,25.3,3.6,0,דן דרום,35.9,לא,55,102,39,274.5416667,13,1,771
332,18/05/2023 12:56,אוטובוס הגיע בזמן,11601,FALSE,4,50,25.3,3.6,0,דן דרום,35.9,לא,55,102,39,293.9791667,13,3,747
34,18/05/2023 12:56,אוטובוס הגיע בזמן,11601,FALSE,4,50,25.3,3.6,0,דן באר שבע,17,כן,39,311,39,293.9791667,13,3,747
25,18/05/2023 12:56,אוטובוס הגיע בזמן,11601,FALSE,4,50,25.3,3.6,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,13,1,747
24,18/05/2023 12:56,אוטובוס הגיע בזמן,11342,FALSE,5,50,25.3,3.6,0,דן באר שבע,13.2,כן,33,336,8,110.5416667,13,1,765
4,18/05/2023 12:56,אוטובוס הגיע בזמן,11342,FALSE,5,50,25.3,3.6,0,דן באר שבע,19.1,כן,46,460,8,110.5416667,13,3,765
2,18/05/2023 12:57,אוטובוס הגיע בזמן,11601,FALSE,4,50,25.3,3.6,0,דן באר שבע,16.5,כן,46,391,39,293.9791667,13,3,747
332,18/05/2023 12:58,אוטובוס הגיע בזמן,13518,FALSE,5,33,28.4,3.9,0,דן דרום,35.9,לא,55,102,7,162.9583333,13,3,411
33,18/05/2023 12:58,אוטובוס הגיע בזמן,11342,FALSE,5,50,25.3,3.6,0,דן באר שבע,15.7,כן,34,305,8,110.5416667,13,2,765
25,18/05/2023 12:58,אוטובוס הגיע בזמן,13983,FALSE,4,50,25.3,3.6,0,דן באר שבע,16.9,כן,44,434,39,274.5416667,13,2,771
25,18/05/2023 12:58,אוטובוס הגיע בזמן,13518,FALSE,5,33,28.4,3.9,0,דן באר שבע,16.9,כן,44,434,7,162.9583333,13,3,411
6,18/05/2023 12:59,אוטובוס הגיע בזמן,11132,FALSE,5,50,25.3,3.6,0,דן באר שבע,14,כן,14,500,8,80.95833333,13,2,294
6,18/05/2023 13:00,אוטובוס הגיע בזמן,13086,FALSE,5,50,25.3,3.6,0,דן באר שבע,14,כן,14,500,8,110.5416667,13,3,294
4,18/05/2023 13:00,אוטובוס הגיע בזמן,13518,FALSE,5,50,25.6,3.9,0,דן באר שבע,19.1,כן,46,460,7,162.9583333,13,1,411
12,18/05/2023 13:02,אוטובוס הגיע בזמן,11132,FALSE,5,50,25.3,3.6,0,דן באר שבע,8.8,כן,26,491,8,80.95833333,13,3,294
12,18/05/2023 13:03,אוטובוס הגיע בזמן,13086,FALSE,5,50,25.3,3.6,0,דן באר שבע,8.8,כן,26,491,8,110.5416667,13,2,294
11,18/05/2023 13:05,אוטובוס הגיע בזמן,13086,FALSE,5,50,25.6,3.9,0,דן באר שבע,19.7,כן,47,243,8,110.5416667,13,1,294
11,18/05/2023 13:05,אוטובוס הגיע בזמן,11132,FALSE,5,50,25.6,3.9,0,דן באר שבע,19.7,כן,47,243,8,110.5416667,13,1,294
6,18/05/2023 13:09,אוטובוס הגיע בזמן,11132,FALSE,5,50,25.6,3.9,0,דן באר שבע,14,כן,14,500,39,293.9791667,13,3,294
6,18/05/2023 13:10,אוטובוס הגיע בזמן,13086,FALSE,5,50,25.6,3.9,0,דן באר שבע,14,כן,14,500,8,110.5416667,13,1,294
